Month,Generation_MWh
2001-01-01,0.0
2001-02-01,6068.0
2001-03-01,24998.0
2001-04-01,32259.0
2001-05-01,74553.0
2001-06-01,84643.0
2001-07-01,85494.0
2001-08-01,78799.0
2001-09-01,58303.0
2001-10-01,14313.0
2001-11-01,7789.0
2001-12-01,-2464.0
2002-01-01,4820.0
2002-02-01,17065.0
2002-03-01,37897.0
2002-04-01,39358.0
2002-05-01,51140.0
2002-06-01,89043.0
2002-07-01,79037.0
2002-08-01,68425.0
2002-09-01,46108.0
2002-10-01,24456.0
2002-11-01,21675.0
2002-12-01,-2193.0
2003-01-01,6717.01
2003-02-01,11330.27
2003-03-01,43527.090000000004
2003-04-01,53809.0
2003-05-01,61462.0
2003-06-01,84182.0
2003-07-01,55907.0
2003-08-01,55492.0
2003-09-01,49357.0
2003-10-01,28936.0
2003-11-01,7531.0
2003-12-01,-2249.0
2004-01-01,6109.57
2004-02-01,4361.73
2004-03-01,46429.450000000004
2004-04-01,50401.89
2004-05-01,75275.73
2004-06-01,81376.0
2004-07-01,75602.53
2004-08-01,66346.0
2004-09-01,54131.69
2004-10-01,27021.09
2004-11-01,8841.570000000002
2004-12-01,1257.76
2005-01-01,2167.54
2005-02-01,6581.54
2005-03-01,31657.09
2005-04-01,51763.25
2005-05-01,74652.70999999999
2005-06-01,81976.25
2005-07-01,65829.01
2005-08-01,69345.48
2005-09-01,54607.700000000004
2005-10-01,31165.15
2005-11-01,6255.200000000001
2005-12-01,-3706.5800000000004
2006-01-01,6435.3
2006-02-01,13032.84
2006-03-01,26903.85
2006-04-01,45574.32
2006-05-01,64235.119999999995
2006-06-01,63202.07
2006-07-01,55155.909999999996
2006-08-01,76493.16
2006-09-01,47490.22
2006-10-01,25783.460000000003
2006-11-01,9186.48
2006-12-01,-3786.72
2007-01-01,6341.65
2007-02-01,12744.45
2007-03-01,41987.95
2007-04-01,47964.34
2007-05-01,77691.76000000001
2007-06-01,77958.28
2007-07-01,79292.93
2007-08-01,68663.42
2007-09-01,61712.25
2007-10-01,42732.689999999995
2007-11-01,17801.71
2007-12-01,-1098.43
2008-01-01,9789.27
2008-02-01,29341.6
2008-03-01,68099.67
2008-04-01,87640.84
2008-05-01,92244.13
2008-06-01,121663.63
2008-07-01,104378.12
2008-08-01,98782.12000000001
2008-09-01,86096.86
2008-10-01,53743.479999999996
2008-11-01,22347.7
2008-12-01,12187.38
2009-01-01,690.14
2009-02-01,23943.739999999998
2009-03-01,71606.89000000001
2009-04-01,92916.07999999999
2009-05-01,103924.62999999999
2009-06-01,96912.56
2009-07-01,114688.27
2009-08-01,109790.51
2009-09-01,88494.15999999999
2009-10-01,61601.09
2009-11-01,33902.46
2009-12-01,14708.869999999999
2010-01-01,3366.3500000000004
2010-02-01,26323.89
2010-03-01,69499.2
2010-04-01,105779.4
2010-05-01,146671.99
2010-06-01,169552.9
2010-07-01,154881.50999999998
2010-08-01,149892.74
2010-09-01,131081.14
2010-10-01,68935.84
2010-11-01,70295.39
2010-12-01,37901.22
2011-01-01,33281.57
2011-02-01,78798.54000000001
2011-03-01,115799.61
2011-04-01,157506.22999999998
2011-05-01,184169.11
2011-06-01,216273.09
2011-07-01,184601.53
2011-08-01,222662.73
2011-09-01,179219.84
2011-10-01,152359.95
2011-11-01,100869.85
2011-12-01,114153.59999999999
2012-01-01,88819.86
2012-02-01,128740.34
2012-03-01,224728.38999999998
2012-04-01,312223.31
2012-05-01,456096.83999999997
2012-06-01,520567.63999999996
2012-07-01,503010.28
2012-08-01,454910.88
2012-09-01,451602.64999999997
2012-10-01,424926.98000000004
2012-11-01,340775.95
2012-12-01,342272.12
2013-01-01,303323.86000000004
2013-02-01,426142.62
2013-03-01,612899.01
2013-04-01,660238.79
2013-05-01,746206.49
